"createdOn","cwltool_version","date_accessed","docker_version","entityId","env_cpus","env_disk","env_memory","environment","institution","modifiedOn","file_name","objectId","platform","reportEntityId","reportStatus","runner","runner_version","scopeId","status","submitterAlias","submitterId","team","teamId","user","userId","versionNumber","workflow","workflow_type","workflow_contributor","input_handle","suggested_cpus","suggested_disk","suggested_ram"
"1514588233870","1.0.2017110733715","2017-11-15","1.12.6","syn11639720","8","2Tb","96Gb","OpenStack VM","Ontario Institute for Cancer Research","1516687172913","grading-summary-NA12878-chr20.csv","9657910","JTracker","syn11639722","VALIDATED","JTracker","0.2.0a5","9605240","VALIDATED","PCAWG-Tech","3364856","PCAWG-Tech","3364856","Junjun Zhang","2223635","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1514605183357",,"2017-12-05","17.09.0-ce","syn11639780","12","5Tb","62Gb","cluster","Digicon Corporation","1516687174632","grading-summary-NA12878-chr20.csv","9657917","cwltool","syn11639792","VALIDATED","cwltool","1.0.20170217172322","9605240","VALIDATED","BioGenLink","3365734","BioGenLink","3365734","Ben Ernest","3365727","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1514605227556",,"2017-12-12","17.09.0-ce","syn11639781","1","5Tb","8Gb","BioGenLink","Digicon Corporation","1516687176976","grading-summary-NA12878-chr20.csv","9657918","dockstore","syn11639793","VALIDATED","dockstore","1.0.20170217172322","9605240","VALIDATED","BioGenLink","3365734","BioGenLink","3365734","Ben Ernest","3365727","1","bcbio_NA12878-chr20","CWL","Brad Chapman","NA12878 chr20","8","50Gb","32Gb"
"1496844630973",,,"17.06.0-ce, build 02c1d87","syn9965971","8","400Gb","64Gb","local","Ontario Institute for Cancer Research","1516687010555","9604287_Dockstore_team_3_no_spaces_1496844590.zip","9615868","dockstore","syn10208918","VALIDATED","dockstore","1.2.5","9604287","VALIDATED","Dockstore_team_3_no_spaces","3357666","Dockstore Team","3357666","Denis Yuen","3334989","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1499104360683",,,"1.12.1, build 23cf638","syn10160422","31","1Tb","252Gb","UCSC podcloud VM","UCSC","1516687012298","9604287__1499104228.zip","9621027","cwltool","syn10208925","VALIDATED","cwltool","1.0.20170704143016","9604287","VALIDATED",,"3322142","Jeltje van Baren",,"Jeltje van Baren","3322142","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500258569151",,,"17.06.0-ce, build 02c1d87","syn10194880","8","50Gb","32Gb","EC2","UCSC","1516687014105","9604287_UCSCGA4GH-DREAMChallengeTeam_1500258507.zip","9622397","cwltool","syn10208930","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","DailyDreaming","3359517","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500319150224",,,"17.06.0-ce","syn10202482","4","500Gb","16Gb","local","CCHMC, Barski Lab","1516687016042","9604287_BioWardrobe_1500319004.zip","9622485","cwltool","syn10208932","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","BioWardrobe","3359658","BioWardrobe","3359658","Michael Kotliar","3352211","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500327209806",,,"17.06.0-ce-rc4","syn10203778","32","200Gb","240Gb","EC2","UCSC","1516687017863","9604287_UCSCGA4GH-DREAMChallengeTeam_1500327146.zip","9622519","cwltool","syn10208937","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","Abraham Chavez","3359518","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500479115552",,,"17.06.0-ce","syn10207958","4","200Gb","16Gb","local","Seven Bridges Genomics","1516687019580","9604287_SBG_1500478974.zip","9622676","rabix","syn10208944","VALIDATED","rabix","1.0.0","9604287","VALIDATED","SBG","3359497","SBG","3359497","Bogdan Gavrilovic","3357304","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500498291952",,,"17.06.0-ce","syn10209755","4","500Gb","16Gb","local","CCHMC, Barski Lab","1516687021334","9604287_BioWardrobe_1500498160.zip","9622777","cwltool","syn10209886","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","BioWardrobe","3359658","BioWardrobe","3359658","Michael Kotliar","3352211","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500842644555",,,"1.12.6","syn10222226","64","230Gb","251Gb","local","CCHMC, Barski Lab","1516687023302","9604287_BioWardrobe_1500842222.zip","9623380","CWL-Airflow","syn10222235","VALIDATED",,"0.0.1","9604287","VALIDATED","BioWardrobe","3359658","BioWardrobe","3359658","Michael Kotliar","3352211","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1500923017422",,,"17.06.0-ce-rc4","syn10226026","32","200Gb","240Gb","EC2","UCSC","1516687025201","9604287_UCSCGA4GH-DREAMChallengeTeam_1500922955.zip","9623592","dockstore","syn10226055","VALIDATED","dockstore","1.2.5","9604287","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","Abraham Chavez","3359518","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1504253675730",,"08/31/2017","1.7.1, build 786b29d","syn10525324","12","1Tb","72Gb","local","European Molecular Biology Laboratory, Heidelberg","1516687026976","9604287_EMBLGA4GH-DREAMChallengeTeam_1504253597.zip","9631844","cwltool","syn10525442","VALIDATED","cwltool","1.0.20170413194156","9604287","VALIDATED","EMBL GA4GH-DREAM Challenge Team","3361484","EMBL GA4GH-DREAM Challenge Team","3361484","Benjamin Story","3352048","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1505082013463",,"2017-09-05","17.06.0-ce, build 02c1d87","syn10680775","48","368Tb","512Gb","local","Children's Mercy Kansas City","1516687028802","9604287_ChildrensMercyGA4GH-DREAMChallengeTeam_1505082020.zip","9633634","cwltool","syn10680829","VALIDATED","cwltool","1.0.20170817131858","9604287","VALIDATED","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Byunggil Yoo","3340080","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1505486093534",,"2017-09-15","17.06.0-ce, build 02c1d87","syn10806876","48","368Tb","512Gb","local","Children's Mercy Kansas City","1516687030809","9604287_ChildrensMercyGA4GH-DREAMChallengeTeam_1505486103.zip","9635419","cwltool","syn10807006","VALIDATED","cwltool","1.0.20170817131858","9604287","VALIDATED","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Jeff Johnston","3360391","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1505757175826",,"2017-09-15","17.06.2-ce, build cec0b72","syn10828578","1","133Gb","8Gb","local","Children's Mercy Kansas City","1516687032598","9604287_ChildrensMercyGA4GH-DREAMChallengeTeam_1505756894.zip","9635969","cwltool","syn10830449","VALIDATED","cwltool","1.0.20170817131858","9604287","VALIDATED","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Jeff Johnston","3360391","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1505924541145",,"2017-09-20","17.06.0-ce, build 02c1d87","syn10851011","4","470Gb","32Gb","local","Ontario Institute for Cancer Research","1516687034628","9604287_DockstoreTeam_1505924502.zip","9636372","dockstore","syn10851033","VALIDATED","dockstore","1.2.10","9604287","VALIDATED","Dockstore Team","3357666","Dockstore Team","3357666","Gary Luu","3351463","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1506020189843",,"2017-07-19","17.06.0-ce, build 02c1d87","syn10879329","4","500Gb","16Gb","local","Children's Mercy Kansas City","1516687035553","9604287_ChildrensMercyGA4GH-DREAMChallengeTeam_1506020052.zip","9636721","cwltool","syn10879394","VALIDATED","cwltool","1.0.20170817131858","9604287","VALIDATED","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Childrens Mercy GA4GH-DREAM Challenge Team","3360331","Jonathon Saunders","3362244","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1506115336140",,"2017-09-22","1.12.6, build c4618fb","syn10891916","8","140Gb","32Gb","local","ETH Zxfcrich, NEXUS Personalized Health Technologies","1516687037667","9604287__1506115250.zip","9637097","cwltool","syn10891943","VALIDATED","cwltool","1.0.20170828135420","9604287","VALIDATED",,"3360642","ETH Zurich NEXUS Workflow Handler",,"Vipin T Sreedharan","3360642","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1506464628291",,,"17.06.0-ce-rc4","syn10909425","4","200Gb","16Gb","Google Compute Engine","UCSC","1516687039448","9604287_UCSCGA4GH-DREAMChallengeTeam_1506464570.zip","9637741","cwltool","syn10909449","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","Abraham Chavez","3359518","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1508174656151",,"2017-10-13","17.09.0-ce","syn11241749","4","500Gb","30.5Gb","EC2","UCSC","1516687041251","9604287_UCSCGA4GH-DREAMChallengeTeam_1508174570.zip","9645270","cwltool","syn11241765","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","UCSC GA4GH-DREAM Challenge Team","3359354","UCSC GA4GH-DREAM Challenge Team","3359354","Michael Krause","3363440","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1508435411364",,"2017-09-28","17.06.2-ce, build cec0b72","syn11266325","8","250Gb","35Mb","Google Compute Engine","Institute for Systems Biology","1516687043571","9604287_ISB-CGC_1508435365.zip","9646098","cwltool","syn11266385","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Todd Pihl","3360543","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1508446325091",,"10/02/2017","17.09.0-ce, build afdb6d4","syn11267625","8","250Gb","35Gb","Google Compute Engine","Institute for Systems Biology","1516687045351","9604287_ISB-CGC_1508446282.zip","9646120","cwltool","syn11267740","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Madelyn Reyes","3361538","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1509568540742",,"11/1/2017","17.09.0-ce, build afdb6d4","syn11375775","8","150Gb","30Gb","Google Compute Engine","Institute for Systems Biology","1516687047615","9604287_ISB-CGC_1509568492.zip","9650283","cwltool","syn11376073","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Joe Slagel","3348267","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1510935667462",,"2017-11-17","17.09.0-ce, build afdb6d4","syn11455895","8","45Gb","54Gb","Google Compute Engine","xD Bio","1516687049469","9604287__1510935606.zip","9653795","cwltool","syn11455992","VALIDATED","cwltool","1.0.20171107133715","9604287","VALIDATED",,"3340132","spinradical",,"spinradical","3340132","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1510990389770",,"2017-11-18","17.03.1-ce, build c6d412e","syn11460423","8","50Gb","32Gb","EGI FedCloud","University of Khartoum","1516687051346","9604287_CBSB_pipelines_1510990290.zip","9653912","cwltool","syn11460482","VALIDATED","cwltool","1.0.20170928192020","9604287","VALIDATED","CBSB_pipelines","3362440","CBSB_pipelines","3362440","Azza Ahmed","3333939","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1511883528485",,"2017-11-29","17.03.1-ce, build c6d412e","syn11515183","8","50Gb","32Gb","EGI FedCloud","University of Khartoum","1516687053089","9604287_CBSB_pipelines_1511883459.zip","9655240","rabix","syn11515191","VALIDATED","rabix","1.0.0","9604287","VALIDATED","CBSB_pipelines","3362440","CBSB_pipelines","3362440","Azza Ahmed","3333939","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1512578472164",,"2017-12-06","17.09.0-ce","syn11579771","12","5Tb","62Gb","cluster","Digicon Corporation","1516687054952","9604287_BioGenLink_1512578420.zip","9656006","cwltool","syn11580001","VALIDATED","cwltool","1.0.20170217172322","9604287","VALIDATED","BioGenLink","3365734","BioGenLink","3365734","Ben Ernest","3365727","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1512629949655",,"2017-12-06","17.11.0","syn11583396","8","200Gb","60Gb","Google Compute Engine","Institute for Systems Biology","1516687057272","9604287_ISB-CGC_1512629898.zip","9656042","ISB-CGC/dsub+cwltool","syn11587200","VALIDATED","cwltool","1.0.20171107133715","9604287","VALIDATED","ISB-CGC","3362714","ISB-CGC","3362714","Joe Slagel","3348267","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1513769540960",,"2017-12-20","17.06.1-ce, build 874a737","syn11622417","8","2Tb","32Gb","local","LU","1516687059049","9604287_Team_LU_1513769477.zip","9657471","cwltool","syn11622430","VALIDATED","cwltool","1.0.20170828135420","9604287","VALIDATED","Team_LU","3366675","Team_LU","3366675","Abhishek Niroula","3323506","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1514478464491",,"2017-12-12","17.09.0-ce","syn11638692","1","5Tb","8Gb","BioGenLink","Digicon Corporation","1516687060862","9604287_BioGenLink_1514478418.zip","9657816","dockstore","syn11638701","VALIDATED","dockstore","1.0.20170217172322","9604287","VALIDATED","BioGenLink","3365734","BioGenLink","3365734","Ben Ernest","3365727","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1514498563868","1.0.2017110733715","2017-11-15","1.12.6","syn11638961","8","2Tb","96Gb","OpenStack VM","Ontario Institute for Cancer Research","1516687062604","9604287_PCAWG-Tech_1514498520.zip","9657901","JTracker","syn11639006","VALIDATED","JTracker","0.2.0a5","9604287","VALIDATED","PCAWG-Tech","3364856","PCAWG-Tech","3364856","Junjun Zhang","2223635","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1514507389229","1.0.2017110733715","2017-11-15","1.12.6","syn11639119","8","2Tb","96Gb","OpenStack VM","Ontario Institute for Cancer Research","1516687064594","9604287_PCAWG-Tech_1514507327.zip","9657903","JTracker","syn11639142","VALIDATED","JTracker","0.2.0a5","9604287","VALIDATED","PCAWG-Tech","3364856","PCAWG-Tech","3364856","Junjun Zhang","2223635","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1514521849788",,"2017-12-12","17.09.0-ce","syn11639279","1","5Tb","8Gb","BioGenLink","Digicon Corporation","1516687065485","9604287_BioGenLink_1514521803.zip","9657904","BioGenLink","syn11639323","VALIDATED",,"1.0.20170217172322","9604287","VALIDATED","BioGenLink","3365734","BioGenLink","3365734","Ben Ernest","3365727","1","biowardrobe_chipseq_se","CWL","Michael Kotliar","SRR1198790","8","50Gb","32Gb"
"1513818696168",,"2017-12-20","17.09.1-ce, build 19e2cf6","syn11627173","4","300Gb","16Gb","local","Sage Bionetworks","1516687376288","9607590_SageWorkflowRunners_1513818685.zip","9657595","cromwell","syn11628473","VALIDATED","cromwell","29","9607590","VALIDATED","SageWorkflowRunners","3357698","SageWorkflowRunners","3357698","James Eddy","2223305","1","broad-gatk-validate-bam","WDL","Beri Shifaw, Broad Institute Data Sciences Platform","NA12878","1","100Gb","1Gb"
"1515004325865",,"2017-12-05","17.09.0-ce","syn11639777","12","5Tb","62Gb","cluster","Digicon Corporation","1516687377507","9607590_BioGenLink_1514603869.zip","9657957","cromwell","syn11645572","VALIDATED","cromwell","29","9607590","VALIDATED",,"3365734","BioGenLink","3365734","Ben Ernest","3365727","1","broad-gatk-validate-bam","WDL","Beri Shifaw, Broad Institute Data Sciences Platform","NA12878","1","100Gb","1Gb"
"1515004368137",,"2017-12-12","17.09.0-ce","syn11639778","1","5Tb","8Gb","BioGenLink","Digicon Corporation","1516687378439","9607590_BioGenLink_1514603965.zip","9657958","cromwell","syn11645574","VALIDATED","cromwell","1.0.20170217172322","9607590","VALIDATED",,"3365734","BioGenLink","3365734","Ben Ernest","3365727","1","broad-gatk-validate-bam","CWL","Beri Shifaw, Broad Institute Data Sciences Platform","NA12878","1","100Gb","1Gb"
